,title,type,release_year,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,word_count,genres_weight
4894,Live Is Life,MOVIE,2022,110,comedy,60,1.0,7.0,70.0,27.199,6.8,12,0.022292220482381074
4895,The White Tiger,MOVIE,2021,125,drama,64,1.0,7.1,59441.0,19.472,6.955,15,0.03650024883774565
4896,Yakamoz S-245,SHOW,2022,48,scifi,68,1.0,6.1,5789.0,13.009,7.2,13,0.10741293713508855
4897,Hit & Run,SHOW,2021,44,drama,55,1.0,7.0,8602.0,20.178,7.5,9,0.03650024883774565
4898,Midnight at the Pera Palace,SHOW,2022,44,thriller,68,1.0,7.0,7377.0,5.849,6.9,27,0.08545452338467888
4899,The Puppet Master: Hunting the Ultimate Conman,SHOW,2022,42,documentation,91,1.0,7.0,6370.0,6.409,6.564,46,0.016963451197455785
4900,Captain Nova,MOVIE,2021,86,action,46,1.0,5.5,1391.0,7.99,6.2,12,0.061918114174040764
4901,Outlaws,MOVIE,2021,125,crime,60,1.0,6.9,3985.0,67.192,7.0,7,0.05329376206256145
4902,Hypnotic,MOVIE,2021,88,thriller,84,1.0,5.3,15690.0,71.857,6.121,8,0.08545452338467888
4903,VOIR,SHOW,2021,20,documentation,92,1.0,6.8,1323.0,1.35,7.2,4,0.016963451197455785
4904,Return to Space,MOVIE,2022,128,documentation,92,1.0,7.3,4087.0,19.791,6.2,15,0.016963451197455785
4905,Business Proposal,SHOW,2022,61,drama,63,1.0,8.1,7806.0,183.465,8.3,17,0.03650024883774565
4906,Along for the Ride,MOVIE,2022,106,drama,92,1.0,6.1,5347.0,158.01,6.6,18,0.03650024883774565
4907,Worth,MOVIE,2021,118,drama,84,1.0,6.8,13524.0,14.465,6.8,5,0.03650024883774565
4908,The Starling,MOVIE,2021,102,comedy,92,1.0,6.3,12309.0,24.671,7.1,12,0.022292220482381074
4909,The Ice Road,MOVIE,2021,109,action,92,1.0,5.6,38927.0,35.718,7.009,12,0.061918114174040764
4910,Remarriage & Desires,SHOW,2022,62,drama,63,1.0,7.2,459.0,56.948,7.667,20,0.03650024883774565
4911,Fate: The Winx Saga,SHOW,2021,50,scifi,92,2.0,6.8,39519.0,97.114,8.373,19,0.10741293713508855
4912,Back to the Outback,MOVIE,2021,95,animation,83,1.0,6.5,7896.0,155.021,7.8,19,0.006979595304856584
4913,Masters of the Universe: Revelation,SHOW,2021,26,family,92,2.0,5.3,26422.0,26.04,6.8,35,0.011507228433050508
4914,After We Fell,MOVIE,2021,99,romance,77,1.0,4.6,13221.0,341.558,7.2,13,0.0394984402121797
4915,Gabby's Dollhouse,SHOW,2021,24,animation,92,4.0,7.0,379.0,15.275,9.0,17,0.006979595304856584
4916,Tomorrow,SHOW,2022,61,drama,63,1.0,7.7,8564.0,30.75,8.582,8,0.03650024883774565
4918,Heist,SHOW,2021,43,crime,92,1.0,6.8,1748.0,5.935,6.9,5,0.05329376206256145
4920,Zone 414,MOVIE,2021,98,scifi,91,1.0,4.9,4146.0,121.562,5.4,8,0.10741293713508855
4921,My Liberation Notes,SHOW,2022,68,drama,63,1.0,8.4,1400.0,16.528,8.1,19,0.03650024883774565
4922,Feria: The Darkest Light,SHOW,2022,50,scifi,60,1.0,5.7,1532.0,12.612,6.8,24,0.10741293713508855
4923,Surviving Summer,SHOW,2022,28,drama,89,1.0,6.3,1433.0,10.719,7.8,16,0.03650024883774565
4924,The Wrath of God,MOVIE,2022,97,thriller,37,1.0,5.7,2800.0,445.767,6.495,16,0.08545452338467888
4925,The Principles of Pleasure,SHOW,2022,51,documentation,92,1.0,5.7,1121.0,4.446,6.0,26,0.016963451197455785
4926,The Mystery of Marilyn Monroe: The Unheard Tapes,MOVIE,2022,101,documentation,92,1.0,6.2,3978.0,89.61,6.3,48,0.016963451197455785
4927,Yes Day,MOVIE,2021,86,comedy,92,1.0,5.7,23625.0,32.951,6.9,7,0.022292220482381074
4928,Ante... Sundaraniki!,MOVIE,2022,173,comedy,75,1.0,8.0,2538.0,8.563,6.7,20,0.022292220482381074
4929,Night Stalker: The Hunt for a Serial Killer,SHOW,2021,47,documentation,92,1.0,7.5,24892.0,15.428,7.4,43,0.016963451197455785
4930,"Bob Ross: Happy Accidents, Betrayal & Greed",MOVIE,2021,92,documentation,92,1.0,6.9,5856.0,6.605,6.8,43,0.016963451197455785
4931,How to Become a Tyrant,SHOW,2021,27,documentation,92,1.0,7.4,8484.0,11.324,7.5,22,0.016963451197455785
4932,Cracow Monsters,SHOW,2022,52,scifi,54,1.0,5.5,1694.0,119.993,6.9,15,0.10741293713508855
4933,Bhool Bhulaiyaa 2,MOVIE,2022,142,horror,75,1.0,5.9,27244.0,9.939,7.0,17,0.15172426350096502
4934,Worst Roommate Ever,SHOW,2022,47,crime,92,1.0,8.1,8.0,4.457,6.9,19,0.05329376206256145
4935,Glamour Girls,MOVIE,2022,125,drama,21,1.0,3.6,144.0,191.02,5.0,13,0.03650024883774565
4936,Gladbeck: The Hostage Crisis,MOVIE,2022,91,documentation,89,1.0,7.5,1765.0,37.903,7.4,28,0.016963451197455785
4937,Peter Rabbit 2: The Runaway,MOVIE,2021,93,fantasy,83,1.0,6.2,11233.0,130.318,7.2,27,0.055241979534612726
4939,Vampire in the Garden,SHOW,2022,26,drama,74,1.0,6.7,848.0,7.973,7.8,21,0.03650024883774565
4940,Joel Kim Booster: Psychosexual,MOVIE,2022,67,comedy,21,1.0,5.5,284.0,8.716,8.0,30,0.022292220482381074
4941,Ginny & Georgia,SHOW,2021,54,drama,92,1.0,7.4,46343.0,71.27,8.1,15,0.03650024883774565
4942,Beast,MOVIE,2022,162,thriller,75,1.0,5.2,30369.0,15.358,6.3,5,0.08545452338467888
4943,The Last Letter From Your Lover,MOVIE,2021,109,drama,91,1.0,6.6,17099.0,26.67,7.5,31,0.03650024883774565
4944,Conversations with a Killer: The John Wayne Gacy Tapes,SHOW,2022,61,documentation,92,1.0,7.1,6665.0,94.08,7.4,54,0.016963451197455785
4945,Catching Killers,SHOW,2021,41,crime,92,2.0,7.1,3250.0,12.506,7.0,16,0.05329376206256145
4946,Chosen,SHOW,2022,41,scifi,73,1.0,4.3,1246.0,7.199,6.584,6,0.10741293713508855
4947,Final Account,MOVIE,2021,94,documentation,91,1.0,7.1,1042.0,3.38,7.1,13,0.016963451197455785
4949,Things Heard & Seen,MOVIE,2021,121,horror,92,1.0,5.3,30703.0,14.718,5.8,19,0.15172426350096502
4950,Vivo,MOVIE,2021,103,family,92,1.0,6.7,18238.0,101.83,7.5,4,0.011507228433050508
4951,Is It Cake?,SHOW,2022,39,reality,92,1.0,5.7,2411.0,3.846,7.6,11,0.009158442882633552
4952,The Girl from Oslo,SHOW,2021,33,drama,72,1.0,6.3,3141.0,9.423,7.3,18,0.03650024883774565
4953,The Way of the Househusband,SHOW,2021,18,animation,74,1.0,7.3,3724.0,20.159,8.591,27,0.006979595304856584
4954,Twenty Five Twenty One,SHOW,2022,76,drama,63,1.0,8.7,5746.0,57.97,8.6,22,0.03650024883774565
4955,The Billion Dollar Code,SHOW,2021,67,drama,89,1.0,8.0,8164.0,11.997,8.2,23,0.03650024883774565
4956,My Little Pony: A New Generation,MOVIE,2021,91,music,70,1.0,6.8,3657.0,88.17,8.0,32,0.0157071240425816
4958,Fistful of Vengeance,MOVIE,2022,94,fantasy,92,1.0,4.4,6341.0,211.567,5.4,20,0.055241979534612726
4959,Restless,MOVIE,2022,95,thriller,76,1.0,5.8,4174.0,217.363,6.0,8,0.08545452338467888
4960,Glória,SHOW,2021,44,drama,41,1.0,7.9,4126.0,5.98,7.0,6,0.03650024883774565
4961,Blood Red Sky,MOVIE,2021,121,thriller,91,1.0,6.1,44006.0,57.545,7.0,13,0.08545452338467888
4962,The One,SHOW,2021,42,drama,91,1.0,6.6,12552.0,13.554,6.9,7,0.03650024883774565
4964,The Witcher: Nightmare of the Wolf,MOVIE,2021,83,action,92,1.0,7.2,42484.0,16.901,7.7,34,0.061918114174040764
4965,Gangubai Kathiawadi,MOVIE,2022,157,crime,75,1.0,7.0,50163.0,15.015,7.7,19,0.05329376206256145
4966,Godse,MOVIE,2022,142,action,75,1.0,8.2,199.0,10.447,7.0,5,0.061918114174040764
4967,Hard Cell,SHOW,2022,26,comedy,92,1.0,6.2,1568.0,2.936,5.8,9,0.022292220482381074
4968,Malcolm & Marie,MOVIE,2021,106,romance,92,1.0,6.6,36395.0,22.675,7.1,15,0.0394984402121797
4969,Brazen,MOVIE,2022,94,thriller,92,1.0,4.1,11753.0,182.054,4.9,6,0.08545452338467888
4970,Gone for Good,SHOW,2021,49,drama,77,1.0,6.3,4083.0,4.375,6.0,13,0.03650024883774565
4971,This Is a Robbery: The World's Biggest Art Heist,SHOW,2021,53,crime,92,1.0,6.5,4328.0,5.515,6.9,48,0.05329376206256145
4972,Space Sweepers,MOVIE,2021,136,scifi,63,1.0,6.5,25178.0,65.593,7.147,14,0.10741293713508855
4973,The Lovebirds,MOVIE,2021,87,romance,92,1.0,6.0,25697.0,9.076,5.8,13,0.0394984402121797
4974,Crime Scene: The Vanishing at the Cecil Hotel,SHOW,2021,55,documentation,92,1.0,5.9,16799.0,18.971,7.2,45,0.016963451197455785
4975,Trust No One: The Hunt for the Crypto King,MOVIE,2022,90,documentation,91,1.0,6.3,4444.0,24.834,6.0,42,0.016963451197455785
4976,Record of Ragnarok,SHOW,2021,24,animation,74,2.0,6.2,4923.0,168.41,8.629,18,0.006979595304856584
4977,Borrego,MOVIE,2022,102,crime,92,1.0,5.7,4122.0,222.814,6.1,7,0.05329376206256145
4978,Jimmy Savile: A British Horror Story,SHOW,2022,85,documentation,91,1.0,6.7,6536.0,3.341,6.8,36,0.016963451197455785
4979,Intrusion,MOVIE,2021,92,thriller,92,1.0,5.2,16272.0,113.423,6.0,9,0.08545452338467888
4980,Count Me In,MOVIE,2021,81,documentation,21,1.0,6.8,1805.0,4.044,7.1,11,0.016963451197455785
4981,Nightbooks,MOVIE,2021,103,family,84,1.0,5.7,8573.0,80.549,6.3,10,0.011507228433050508
4982,Through My Window,MOVIE,2022,116,drama,60,1.0,5.4,9082.0,236.503,7.48,17,0.03650024883774565
4983,Cocaine Cowboys: The Kings of Miami,SHOW,2021,57,documentation,21,1.0,7.1,2699.0,4.242,7.8,35,0.016963451197455785
4984,My Wonderful Life,MOVIE,2021,99,romance,54,1.0,5.8,626.0,4.228,4.5,17,0.0394984402121797
4985,Taylor Tomlinson: Look at You,MOVIE,2022,60,comedy,21,1.0,7.3,2008.0,5.174,7.5,29,0.022292220482381074
4986,The Marked Heart,SHOW,2022,44,thriller,22,2.0,6.4,1824.0,273.963,8.074,16,0.08545452338467888
4987,New Heights,SHOW,2021,48,drama,88,1.0,6.7,525.0,8.664,7.9,11,0.03650024883774565
4988,Life After Death with Tyler Henry,SHOW,2022,43,reality,92,1.0,5.9,913.0,2.222,5.5,33,0.009158442882633552
4989,That’s My Time with David Letterman,SHOW,2022,18,comedy,92,1.0,6.7,140.0,1.868,7.0,35,0.022292220482381074
4990,Pretend It's a City,SHOW,2021,29,comedy,92,1.0,8.1,7296.0,3.576,7.6,19,0.022292220482381074
4991,The Takedown,MOVIE,2022,119,action,77,1.0,5.7,5948.0,312.312,6.0,12,0.061918114174040764
4992,Q-Force,SHOW,2021,27,animation,92,1.0,6.3,5294.0,10.637,7.2,7,0.006979595304856584
4993,The Summit of the Gods,MOVIE,2021,95,animation,52,1.0,7.5,5485.0,8.906,7.9,22,0.006979595304856584
4994,Love Hard,MOVIE,2021,104,romance,92,1.0,6.3,49784.0,24.112,7.1,9,0.0394984402121797
4995,Pete Davidson Presents: The Best Friends,MOVIE,2022,58,comedy,92,1.0,4.7,569.0,3.503,7.0,40,0.022292220482381074
4996,That Girl Lay Lay,SHOW,2021,22,comedy,92,2.0,3.6,254.0,5.946,9.5,17,0.022292220482381074
4997,The Pirates: The Last Royal Treasure,MOVIE,2022,126,action,63,1.0,6.0,3367.0,94.042,6.6,36,0.061918114174040764
4998,Blue Period,SHOW,2021,25,animation,74,1.0,7.7,1956.0,8.106,7.7,11,0.006979595304856584
4999,Kotaro Lives Alone,SHOW,2022,27,animation,74,1.0,8.4,2281.0,13.897,6.9,18,0.006979595304856584
5000,The Sound of Magic,SHOW,2022,69,scifi,63,1.0,7.7,2783.0,117.687,7.5,18,0.10741293713508855
5001,Beckett,MOVIE,2021,109,crime,71,1.0,5.6,25703.0,86.212,6.3,7,0.05329376206256145
5002,Jim Gaffigan: Comedy Monster,MOVIE,2021,70,comedy,21,1.0,6.8,1658.0,3.435,6.7,28,0.022292220482381074
5003,The Block Island Sound,MOVIE,2021,98,scifi,92,1.0,5.3,7778.0,8.983,5.3,22,0.10741293713508855
5004,Baki Hanma,SHOW,2021,25,animation,74,2.0,6.6,1685.0,211.093,8.049,10,0.006979595304856584
5005,Night Teeth,MOVIE,2021,107,crime,91,1.0,5.6,17526.0,68.073,6.5,11,0.05329376206256145
5006,Super Crooks,SHOW,2021,30,action,74,1.0,7.1,2254.0,6.317,7.2,12,0.061918114174040764
5009,Cosmic Sin,MOVIE,2021,88,action,92,1.0,2.5,12517.0,98.432,4.2,10,0.061918114174040764
5010,Cyber Hell: Exposing an Internet Horror,MOVIE,2022,105,documentation,63,1.0,6.5,1407.0,186.89,7.1,39,0.016963451197455785
5011,"Mom, Don't Do That!",SHOW,2022,53,comedy,25,1.0,6.5,87.0,116.074,9.0,19,0.022292220482381074
5012,America: The Motion Picture,MOVIE,2021,98,action,92,1.0,5.6,6349.0,68.439,5.8,27,0.061918114174040764
5013,Like A Rolling Stone: The Life & Times of Ben Fong-Torres,MOVIE,2021,102,documentation,92,1.0,7.3,233.0,1.706,10.0,57,0.016963451197455785
5014,SAS: Red Notice,MOVIE,2021,124,thriller,91,1.0,5.2,18190.0,89.579,5.9,15,0.08545452338467888
5015,Vincenzo,SHOW,2021,81,action,63,1.0,8.4,16358.0,50.764,8.8,8,0.061918114174040764
5016,Tyler Perry's A Madea Homecoming,MOVIE,2022,105,comedy,92,1.0,5.6,3697.0,68.483,6.7,32,0.022292220482381074
5017,The God Committee,MOVIE,2021,98,drama,92,1.0,5.8,3964.0,13.632,7.1,17,0.03650024883774565
5018,Thunder Force,MOVIE,2021,107,scifi,92,1.0,4.4,41508.0,47.631,5.7,13,0.10741293713508855
5019,Sophie: A Murder in West Cork,SHOW,2021,55,documentation,91,1.0,6.8,5234.0,6.016,6.5,29,0.016963451197455785
